title,vote_average,genres
Top Gun: Maverick,8.26,"Action, Drama"
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.259,"Action, Animation, Adventure, Fantasy, Thriller"
Oppenheimer,8.256,"Drama, History"
The Lion King,8.256,"Family, Animation, Drama"
Avengers: Infinity War,8.255,"Adventure, Action, Science Fiction"
Steven Universe: The Movie,8.251,"TV Movie, Animation, Science Fiction, Action, Adventure, Comedy, Drama, Fantasy, Music"
Mommy,8.251,Drama
Klaus,8.25,"Animation, Family, Adventure, Comedy, Fantasy"
Wolfwalkers,8.249,"Animation, Family, Adventure, Fantasy"
Baraka,8.248,Documentary
The Handmaiden,8.246,"Thriller, Drama, Romance"
We All Loved Each Other So Much,8.245,"Drama, Comedy"
Green Book,8.242,"Drama, Comedy"
Wolf Children,8.234,"Animation, Family, Drama, Fantasy, Adventure"
BTS World Tour: Love Yourself in Seoul,8.232,Music
Persona,8.226,Drama
The Apartment,8.222,"Comedy, Drama, Romance"
Coco,8.222,"Family, Animation, Fantasy, Music, Comedy, Adventure"
Witness for the Prosecution,8.218,"Drama, Mystery, Crime"
The Shining,8.218,"Horror, Thriller"
Maquia: When the Promised Flower Blooms,8.217,"Animation, Fantasy, Drama"
Violet Evergarden: Eternity and the Auto Memory Doll,8.216,"Drama, Fantasy, Animation"
Inglourious Basterds,8.215,"Drama, Thriller, War"
Hamilton,8.215,"History, Drama"
Bicycle Thieves,8.213,Drama
The Art of Racing in the Rain,8.21,"Drama, Romance, Comedy, Family"
Saving Private Ryan,8.209,"Drama, History, War"
Gladiator,8.209,"Action, Drama, Adventure"
The Matrix,8.206,"Action, Science Fiction"
Star Wars,8.204,"Adventure, Action, Science Fiction"
The Prestige,8.203,"Drama, Mystery, Science Fiction"
The Help,8.202,Drama
Night and Fog,8.2,"Documentary, War"
Taxi Driver,8.2,"Crime, Drama"
A Clockwork Orange,8.2,"Science Fiction, Drama"
Homecoming: A Film by Beyoncé,8.2,"Documentary, Music"
BLACKPINK: Light Up the Sky,8.2,"Documentary, Music"
The Seventh Seal,8.2,"Fantasy, Drama"
Shutter Island,8.2,"Drama, Thriller, Mystery"
Il Sorpasso,8.2,"Drama, Comedy"
Rascal Does Not Dream of a Dreaming Girl,8.2,"Animation, Comedy, Romance, Drama, Fantasy"
Tokyo Story,8.196,Drama
The Usual Suspects,8.195,"Drama, Crime, Thriller"
Hacksaw Ridge,8.195,"Drama, History, War"
The Kid,8.195,"Comedy, Drama"
Zack Snyder's Justice League,8.19,"Action, Adventure, Fantasy"
Investigation of a Citizen Above Suspicion,8.19,"Drama, Thriller"
Out of the Clear Blue Sky,8.19,"Comedy, Drama, Music"
Memento,8.188,"Mystery, Thriller"
Flamin' Hot,8.186,"Comedy, Drama"
My Hero Academia: Heroes Rising,8.185,"Animation, Action, Fantasy, Adventure"
Jujutsu Kaisen 0,8.184,"Animation, Action, Fantasy"
Better Days,8.183,Drama
Vertigo,8.18,"Mystery, Romance, Thriller"
Guillermo del Toro's Pinocchio,8.179,"Animation, Fantasy, Drama, Music"
Capernaum,8.178,Drama
Portrait of a Lady on Fire,8.178,"Drama, Romance"
Scenes from a Marriage,8.177,"Drama, Romance"
Stalker,8.176,"Science Fiction, Drama"
Togo,8.175,"Adventure, Family"
8½,8.173,"Fantasy, Drama"
Along with the Gods: The Last 49 Days,8.171,"Fantasy, Action, Thriller, Adventure"
Django Unchained,8.171,"Drama, Western"
Casablanca,8.171,"Drama, Romance"
Doctor Who: The Day of the Doctor,8.17,"Science Fiction, Adventure"
Scarface,8.168,"Action, Crime, Drama"
"Red, White & Royal Blue",8.168,"Comedy, Romance"
Joker,8.168,"Crime, Thriller, Drama"
Call Me by Your Name,8.167,"Romance, Drama"
Singin' in the Rain,8.167,"Comedy, Romance"
"Miraculous World: New York, United HeroeZ",8.167,"Animation, TV Movie, Fantasy, Action"
The Departed,8.166,"Drama, Thriller, Crime"
My Mom Is a Character 3,8.166,Comedy
Piper,8.164,"Family, Animation"
Michael Jackson's Thriller,8.163,"Horror, Music"
The Hate U Give,8.162,"Crime, Drama"
Wonder,8.155,"Drama, Family"
Purple Hearts,8.155,"Romance, Drama"
Believe Me: The Abduction of Lisa McVey,8.154,"Drama, TV Movie"
Palmer,8.154,Drama
Metropolis,8.153,"Drama, Science Fiction"
My Friends,8.153,Comedy
The Father,8.152,Drama
Bo Burnham: Inside,8.151,"Comedy, Drama"
Silenced,8.151,Drama
Soul,8.15,"Animation, Family, Comedy, Fantasy, Drama"
Mortal Kombat Legends: Scorpion's Revenge,8.149,"Animation, Action, Fantasy"
Good Will Hunting,8.149,Drama
Attack on Titan: Crimson Bow and Arrow,8.148,"Animation, Action, Adventure, Fantasy"
Alien,8.147,"Horror, Science Fiction"
KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,8.143,"Animation, Adventure, Comedy, Fantasy"
The Great War,8.142,"Drama, Comedy, War"
Central Station,8.138,Drama
Sansho the Bailiff,8.138,Drama
Full Metal Jacket,8.136,"Drama, War"
La Dolce Vita,8.136,"Comedy, Drama"
Innocent Voices,8.135,"Drama, War"
Wild Strawberries,8.134,Drama
The Truman Show,8.133,"Comedy, Drama"
Double Indemnity,8.132,"Crime, Thriller"
Reservoir Dogs,8.132,"Crime, Thriller"
Me Against You: Mr. S's Vendetta,8.13,"Family, Fantasy"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.129,"Drama, Comedy, War"
Children of Paradise,8.126,"Drama, Romance"
"Lock, Stock and Two Smoking Barrels",8.126,"Comedy, Crime"
Rashomon,8.124,"Crime, Drama, Mystery"
Yojimbo,8.121,"Drama, Thriller"
The Invisible Guest,8.12,"Drama, Mystery, Thriller"
"ariana grande: excuse me, i love you",8.118,"Music, Documentary"
Bound by Honor,8.114,"Crime, Action, Drama, Thriller"
Simone: Woman of the Century,8.114,"Drama, History"
Dear Zachary: A Letter to a Son About His Father,8.111,"Documentary, Crime"
Senna,8.11,"Documentary, History"
Big Deal on Madonna Street,8.109,"Comedy, Crime"
Some Like It Hot,8.108,"Comedy, Romance, Crime"
My Fault,8.106,"Drama, Romance"
Along with the Gods: The Two Worlds,8.106,"Action, Adventure, Fantasy, Thriller"
Harry Potter and the Deathly Hallows: Part 2,8.105,"Fantasy, Adventure"
The Tale of The Princess Kaguya,8.104,"Animation, Drama, Fantasy"
Terminator 2: Judgment Day,8.104,"Action, Thriller, Science Fiction"
The Hunt,8.103,Drama
Eternal Sunshine of the Spotless Mind,8.101,"Science Fiction, Drama, Romance"
The Salt of the Earth,8.101,Documentary
I corti,8.1,Comedy
Black Beauty,8.1,Drama
In the Mood for Love,8.1,"Drama, Romance"
All About Eve,8.1,Drama
Far from the Tree,8.1,"Animation, Family"
A Special Day,8.1,Drama
Bo Burnham: Make Happy,8.1,"Comedy, Music"
How to Train Your Dragon: Homecoming,8.1,"Animation, Fantasy, Adventure, Action, Family"
Incendies,8.098,"Drama, War, Mystery"
M,8.095,"Drama, Thriller, Crime"
Sherlock Jr.,8.094,"Action, Comedy, Mystery"
Scooby-Doo! and KISS: Rock and Roll Mystery,8.094,"Family, Animation, Comedy, Mystery"
"Paris, Texas",8.093,Drama
Earthlings,8.091,Documentary
Prisoners,8.091,"Drama, Thriller, Crime"
Ayla: The Daughter of War,8.09,"Drama, War, History"
La Haine,8.087,Drama
Andrei Rublev,8.086,"Drama, History"
There Will Be Blood,8.085,Drama
Das Boot,8.083,"Drama, History, War"
Pride & Prejudice,8.083,"Drama, Romance"
Lion,8.083,Drama
"Three Billboards Outside Ebbing, Missouri",8.081,"Crime, Drama"
WALL·E,8.078,"Animation, Family, Science Fiction"
2001: A Space Odyssey,8.076,"Science Fiction, Mystery, Adventure"
My Neighbor Totoro,8.073,"Fantasy, Animation, Family"
Prayers for Bobby,8.072,"Drama, History, TV Movie"
Red Beard,8.07,Drama
Ran,8.069,"Action, Drama, History"
Gran Turismo,8.068,"Action, Drama, Adventure"
Rocco and His Brothers,8.068,"Crime, Drama, Romance"
The Young and the Damned,8.068,"Crime, Drama"
Memories of Murder,8.066,"Crime, Drama, Thriller"
New Gods: Nezha Reborn,8.065,"Animation, Action, Fantasy"
A Taxi Driver,8.065,"Action, Drama, History"
Paper Lives,8.062,Drama
The 400 Blows,8.061,Drama
Samsara,8.059,Documentary
Hidden Figures,8.058,"Drama, History"
Elite Squad,8.057,"Drama, Action, Crime"
Cruella,8.055,"Comedy, Crime"
"Veinteañera, Divorciada y Fantástica",8.055,Comedy
My Name Is Khan,8.054,"Drama, Romance"
The Best of Youth,8.053,"Drama, History, Romance"
Judgment at Nuremberg,8.053,Drama
On My Skin,8.053,Drama
The Elephant Man,8.051,"Drama, History"
The Grand Budapest Hotel,8.049,"Comedy, Drama"
El mesero,8.047,Comedy
Paris Is Burning,8.047,Documentary
The Thing,8.045,"Horror, Mystery, Science Fiction"
Gifted,8.044,"Drama, Comedy"
Death Note Relight 1: Visions of a God,8.044,"TV Movie, Crime, Drama, Fantasy, Thriller, Animation"
Jojo Rabbit,8.042,"Comedy, War, Drama"
"Love, Simon",8.041,"Comedy, Drama, Romance"
"Toto, Peppino, and the Hussy",8.038,"Comedy, Romance"
A Dog's Journey,8.038,"Family, Adventure, Drama"
Amadeus,8.036,"History, Music, Drama"
The Second Mother,8.036,Drama
The Passion of Joan of Arc,8.036,"Drama, History"
The Wolf of Wall Street,8.035,"Crime, Drama, Comedy"
The Lives of Others,8.035,"Drama, Thriller"
Pather Panchali,8.033,Drama
Room,8.033,"Drama, Thriller"
Won't You Be My Neighbor?,8.031,Documentary
Requiem for a Dream,8.027,"Crime, Drama"
Loving Vincent,8.026,"Animation, Drama, Mystery, History"
The Gold Rush,8.025,"Adventure, Comedy, Drama"
Guardians of the Galaxy Vol. 3,8.023,"Science Fiction, Adventure, Action"
The Wages of Fear,8.022,"Drama, Thriller, Adventure"
Dial M for Murder,8.021,"Thriller, Crime"
Harry Potter and the Prisoner of Azkaban,8.02,"Adventure, Fantasy"
Doctor Who: The Time of the Doctor,8.02,"Drama, Science Fiction, TV Movie"
The Sting,8.02,"Comedy, Crime, Drama"
Bingo: The King of the Mornings,8.019,"Comedy, Drama"
Nobody,8.018,"Action, Crime, Thriller"
"Rome, Open City",8.017,"Drama, History, War"
For a Few Dollars More,8.016,Western
To Live,8.015,"Drama, Romance, War"
Citizen Kane,8.015,"Mystery, Drama"
Mirror,8.011,"Drama, History"
Nights of Cabiria,8.01,Drama
Ford v Ferrari,8.01,"Drama, Action, History"
Dersu Uzala,8.009,"Action, Adventure, Drama"
The Imitation Game,8.007,"History, Drama, Thriller, War"
Barry Lyndon,8.007,"Drama, Romance, War"
Hachi: A Dog's Tale,8.006,"Drama, Family"
In a Heartbeat,8.005,"Family, Animation, Romance, Comedy"
The Circus,8.005,"Comedy, Romance"
The Dawn Wall,8.005,"Documentary, Adventure"
Casino,8.004,"Crime, Drama"
To Kill a Mockingbird,8.002,Drama
The Cabinet of Dr. Caligari,8.0,"Drama, Horror, Thriller, Crime"
When Marnie Was There,8.0,"Animation, Drama, Family"
Ugetsu,8.0,"Fantasy, Drama, Mystery"
Trainspotting,8.0,"Drama, Crime"
Raging Bull,8.0,Drama
Kitbull,8.0,"Animation, Family, Drama"
The Cranes Are Flying,8.0,"Drama, Romance, War"
Poverty and Nobility,8.0,Comedy
Love Exposure,8.0,"Action, Comedy, Drama, Romance"
Late Spring,8.0,Drama
Weathering with You,8.0,"Animation, Drama, Fantasy, Romance"
Avicii: True Stories,8.0,"Music, Documentary"
American Beauty,8.0,Drama
Army of Shadows,8.0,"War, Drama, Thriller"
Song of the Sea,8.0,"Family, Animation, Fantasy"
Paperman,7.999,"Animation, Family, Romance"
The Boy and the Beast,7.998,"Action, Adventure, Animation, Drama, Family, Fantasy"
Chungking Express,7.998,"Drama, Comedy, Romance"
Autumn Sonata,7.997,Drama
The Deer Hunter,7.997,"Drama, War"
Bohemian Rhapsody,7.997,"Music, Drama, History"
In This Corner of the World,7.995,"Drama, Animation, Romance, War, History"
Gran Torino,7.994,Drama
Nobody Knows,7.992,Drama
Spider-Man: No Way Home,7.99,"Action, Adventure, Science Fiction"
No Manches Frida 2,7.99,Comedy
1917,7.99,"War, History, Thriller"
North by Northwest,7.989,"Mystery, Thriller"
Castaway on the Moon,7.989,"Drama, Comedy, Romance"
Hannah Gadsby: Nanette,7.988,Comedy
The Secret in Their Eyes,7.987,"Crime, Mystery, Thriller, Romance, Drama"
Pink Floyd: The Wall,7.986,"Music, Drama"
3 Idiots,7.984,"Drama, Comedy"
The General,7.982,"Comedy, War, Adventure, Action"
Flipped,7.98,"Romance, Drama"
In the Arms of an Assassin,7.98,"Romance, Thriller"
Forgotten,7.979,"Thriller, Mystery, Drama"
Like Stars on Earth,7.976,Drama
Kill Bill: The Whole Bloody Affair,7.976,"Action, Crime, Thriller"
The Treasure of the Sierra Madre,7.976,"Adventure, Drama, Western"
Lawrence of Arabia,7.976,"Adventure, Drama, History, War"
The Red Shoes,7.974,"Drama, Romance"
Sound of Freedom,7.973,"Action, Drama"
Before Sunrise,7.973,"Drama, Romance"
Ivan Vasilyevich Changes His Profession,7.972,"Comedy, Science Fiction"
Nimona,7.972,"Animation, Fantasy, Adventure, Comedy, Family"
Catch Me If You Can,7.971,"Drama, Crime"
Toy Story,7.971,"Animation, Adventure, Family, Comedy"
Kill Bill: Vol. 1,7.97,"Action, Crime"
Winter on Fire: Ukraine's Fight for Freedom,7.969,Documentary
Tae Guk Gi: The Brotherhood of War,7.968,"Action, Adventure, Drama, History, War"
Ron's Gone Wrong,7.968,"Animation, Science Fiction, Family, Comedy"
Scooby-Doo! Camp Scare,7.967,"Animation, Comedy, Family, Mystery"
Rope,7.967,"Thriller, Crime, Drama"
CODA,7.967,"Drama, Music, Romance"
Suzume,7.967,"Animation, Drama, Adventure, Fantasy"
Gone with the Wind,7.965,"Drama, War, Romance"
"Argentina, 1985",7.964,"Drama, History"
Three Men and a Leg,7.963,Comedy
Castle in the Sky,7.961,"Adventure, Fantasy, Animation, Action, Family, Romance"
The Hidden Fortress,7.96,"Adventure, Drama, Action, Comedy"
Beyond the Universe,7.958,"Romance, Drama"
Million Dollar Baby,7.958,Drama
Children of Heaven,7.958,"Drama, Family"
Wish Dragon,7.957,"Animation, Family, Comedy, Fantasy"
Where Hands Touch,7.957,"War, Drama, Romance"
La Notte,7.955,"Drama, Romance"
The Exterminating Angel,7.952,"Comedy, Drama, Fantasy"
The Third Man,7.949,"Thriller, Mystery"
Up,7.949,"Animation, Comedy, Family, Adventure"
The Whale,7.949,Drama
13th,7.948,Documentary
"Remi, Nobody's Boy",7.947,"Adventure, Family, Drama"
My Father's Violin,7.947,"Drama, Music"
Akira,7.946,"Animation, Science Fiction, Action"
Three Colors: Red,7.946,"Drama, Mystery, Romance"
The Cure,7.946,"Drama, Family"
12 Years a Slave,7.945,"Drama, History"
Cries and Whispers,7.945,Drama
The Sixth Sense,7.944,"Mystery, Thriller, Drama"
On the Waterfront,7.943,"Crime, Drama"
Whisper of the Heart,7.942,"Animation, Drama, Family"
The Postman,7.942,"Comedy, Drama, Romance"
The Great Escape,7.942,"Adventure, Drama, History, Thriller, War"
The Way He Looks,7.941,"Drama, Romance"
Jurassic Park,7.941,"Adventure, Science Fiction"
Sanjuro,7.94,"Drama, Action, Comedy"
Limelight,7.939,"Drama, Music, Romance"
Finch,7.938,"Science Fiction, Drama, Adventure"
The Mitchells vs. the Machines,7.937,"Animation, Adventure, Comedy"
Miss Americana,7.934,"Documentary, Music"
Throne of Blood,7.934,"Drama, History"
Dangal,7.934,"Drama, Family, Comedy, Action"
Aliens,7.933,"Action, Thriller, Science Fiction"
La Strada,7.933,Drama
No Country for Old Men,7.933,"Crime, Drama, Thriller"
Dallas Buyers Club,7.932,"Drama, History"
Braveheart,7.932,"Action, Drama, History, War"
Blade Runner,7.931,"Science Fiction, Drama, Thriller"
Raise the Red Lantern,7.931,Drama
The Cove,7.931,Documentary
The Boy Who Harnessed the Wind,7.93,"Drama, History, Family"
"Batman: The Dark Knight Returns, Part 2",7.93,"Science Fiction, Action, Animation, Mystery"
Charm City Kings,7.929,Drama
Nausicaä of the Valley of the Wind,7.928,"Adventure, Animation, Fantasy"
Don't Look Now... We're Being Shot At!,7.928,"Comedy, War"
Operation Y and Other Shurik's Adventures,7.927,"Comedy, Romance, Crime"
Ghost in the Shell,7.927,"Action, Animation, Science Fiction"
Miracle in Cell No. 7,7.926,"Drama, Comedy"
The Iron Giant,7.925,"Family, Animation, Science Fiction, Drama"
La Maison en Petits Cubes,7.925,Animation
Bad Genius,7.924,"Drama, Crime, Thriller, Comedy"
Raiders of the Lost Ark,7.924,"Adventure, Action"
Inside Out,7.922,"Animation, Family, Adventure, Drama, Comedy"
Farewell My Concubine,7.92,Drama
The Cameraman,7.919,"Comedy, Romance, Drama"
Sing 2,7.918,"Animation, Family"
Me Before You,7.918,"Drama, Romance"
Where Is My Friend's House?,7.917,"Drama, Family"
Chinatown,7.917,"Crime, Drama, Mystery, Thriller"
Dragon Ball Super: Super Hero,7.917,"Animation, Science Fiction, Action"
You've Got This,7.916,"Romance, Comedy"
Harry Potter and the Philosopher's Stone,7.916,"Adventure, Fantasy"
Mulan,7.915,"Animation, Family, Adventure"
A Street Cat Named Bob,7.915,"Family, Drama"
Unforgiven,7.914,Western
Rebecca,7.914,"Mystery, Romance, Thriller, Drama"
Divorce Italian Style,7.914,Comedy
Justice League: The Flashpoint Paradox,7.914,"Science Fiction, Animation, Action, Adventure"
Captain Fantastic,7.912,"Adventure, Drama"
Freedom Writers,7.911,"Crime, Drama"
A Whisker Away,7.91,"Animation, Drama, Romance, Fantasy"
The Battle of Algiers,7.91,"Drama, War, History"
Amarcord,7.908,"Comedy, Drama"
Free Solo,7.908,"Documentary, Adventure"
Mamma Roma,7.908,Drama
The Greatest Showman,7.908,Drama
Redeeming Love,7.906,"Romance, Drama, History, Western"
Ne Zha,7.906,"Animation, Fantasy, Adventure"
Guardians of the Galaxy,7.906,"Action, Science Fiction, Adventure"
About Time,7.905,"Drama, Romance, Fantasy"
Amélie,7.905,"Comedy, Romance"
Koyaanisqatsi,7.904,Documentary
Seaspiracy,7.904,Documentary
My Hero Academia: Two Heroes,7.904,"Animation, Action, Adventure, Fantasy"
Ivan's Childhood,7.903,"Drama, War"
Just Mercy,7.903,"Drama, Crime, History"
Heat,7.903,"Action, Crime, Drama"
My Octopus Teacher,7.902,Documentary
Young Frankenstein,7.901,Comedy
Titanic,7.9,"Drama, Romance"
Thirteen Lives,7.9,"Drama, Thriller"
Cousins,7.9,"Comedy, Romance, Drama"
What Ever Happened to Baby Jane?,7.9,"Drama, Horror, Thriller"
Regular Show: The Movie,7.9,"Animation, Comedy, Science Fiction, TV Movie, Adventure, Action"
Raya and the Last Dragon,7.9,"Animation, Family, Fantasy, Action, Adventure"
Inner Workings,7.9,"Animation, Family, Comedy"
Perfect Strangers,7.9,"Comedy, Drama"
Faust,7.9,"Drama, Fantasy, Horror"
Searching for Sugar Man,7.9,"Music, Documentary"
Emancipation,7.9,"Drama, War, History"
The Pursuit of Happyness,7.9,Drama
A Trip to the Moon,7.9,"Adventure, Science Fiction"
Man with a Movie Camera,7.9,Documentary
Winter Light,7.9,Drama
A Man Escaped,7.9,"Thriller, Drama"
Tel chi el telùn,7.9,Comedy
It's Such a Beautiful Day,7.9,"Drama, Animation, Comedy"
We Are the Nobles,7.9,Comedy
Miraculous World: Shanghai – The Legend of Ladydragon,7.9,"Animation, Fantasy, Action, TV Movie"
Persepolis,7.9,"Animation, Drama"
The Killer,7.9,"Action, Crime, Thriller"
Departures,7.9,Drama
Close-Up,7.9,"Crime, Drama"
Words on Bathroom Walls,7.9,"Drama, Romance"
Friends: The Reunion,7.9,Documentary
A Separation,7.899,Drama
Vincent,7.898,"Animation, Fantasy"
V for Vendetta,7.897,"Action, Thriller, Science Fiction"
La La Land,7.897,"Comedy, Drama, Romance, Music"
In the Name of the Father,7.896,Drama
Little Women,7.895,"Drama, Romance"
Return of the Jedi,7.892,"Adventure, Action, Science Fiction"
Gone Girl,7.892,"Mystery, Thriller, Drama"
Ordet,7.891,Drama
Close to the Horizon,7.891,"Drama, Romance"
Tokyo Godfathers,7.891,"Animation, Drama, Comedy"
To Be or Not to Be,7.889,"Comedy, War"
The Night of the Hunter,7.889,"Crime, Drama, Thriller"
Hearts of Darkness: A Filmmaker's Apocalypse,7.887,Documentary
Roman Holiday,7.885,"Romance, Comedy, Drama"
Diabolique,7.884,"Drama, Horror, Thriller"
Dragon Ball Super: Broly,7.884,"Action, Science Fiction, Animation"
Mr. Smith Goes to Washington,7.882,"Comedy, Drama"
1900,7.881,"Drama, History"
The Summit of the Gods,7.881,"Animation, Adventure, Mystery"
Yi Yi,7.88,Drama
The Notebook,7.88,"Romance, Drama"
Nostalgia,7.88,"Drama, Romance"
Sing Street,7.88,"Comedy, Romance, Drama, Music"
The Breadwinner,7.878,"Animation, War, Drama"
Tampopo,7.878,Comedy
La Jetée,7.877,"Romance, Science Fiction"
Umberto D.,7.877,Drama
Kill Bill: Vol. 2,7.876,"Action, Crime, Thriller"
It Happened One Night,7.874,"Comedy, Romance"
Jodorowsky's Dune,7.872,Documentary
Two Women,7.872,"Drama, War"
Mary and Max,7.872,"Animation, Comedy, Drama"
Ben-Hur,7.87,"Action, Drama, History, Adventure"
Wild Tales,7.869,"Drama, Thriller, Comedy"
Dancer in the Dark,7.869,"Drama, Crime"
My Way,7.868,"Drama, Action, History, War"
See You Up There,7.868,"Drama, Crime, War"
Shoplifters,7.868,"Drama, Crime, Thriller"
Invisible Life,7.868,Drama
Fargo,7.867,"Crime, Drama, Thriller"
Sherlock: The Abominable Bride,7.866,"Crime, Drama, Mystery, TV Movie"
Luca,7.865,"Animation, Comedy, Fantasy, Adventure, Family"
An Egg Rescue,7.863,"Animation, Comedy, Adventure, Family"
Paper Moon,7.863,"Comedy, Crime, Drama"
Ace in the Hole,7.862,Drama
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,7.862,"Animation, Comedy, Mystery, Family, Fantasy"
